donor,recipient,W
2119,2629,0.0878439484458955
2629,5077,0.188286961064327
2629,2512,0.184235069208033
2629,1732,0.0838132609461917
2629,2119,0.0878439484458955
3507,4776,0.397705304216518
4776,3507,0.397705304216518
156,2304,0.204133824187982
2304,156,0.204133824187982
4960,2486,0.353634581752849
2486,4960,0.353634581752849
2622,4627,0.311354202015782
4627,2622,0.311354202015782
5428,1268,0.288696882853686
1268,5428,0.288696882853686
3082,5690,0.358171338449962
5690,3082,0.358171338449962
2652,2236,0.455909062970212
2652,2377,0.13568182936439
2652,3439,0.0683366722976538
2236,2652,0.455909062970212
2236,2377,0.128283713971698
2236,3439,0.0646105831847713
2377,2652,0.13568182936439
2377,2236,0.128283713971698
2377,3439,0.131619608326062
3439,2652,0.0683366722976538
3439,2236,0.0646105831847713
3439,2377,0.131619608326062
5822,5406,0.455856377807374
5406,5822,0.455856377807374
5349,5552,0.411313518927559
5552,5349,0.411313518927559
407,4215,0.255496281232941
407,5581,0.118782419962802
4215,407,0.255496281232941
4215,5581,0.188022890902479
5581,407,0.118782419962802
5581,4215,0.188022890902479
3704,4061,0.430128316009462
3704,2894,0.183881444984462
3704,2900,0.0768784702964691
3704,4844,0.0427677998437487
3704,2492,0.00794949158556626
3704,1886,0.00737271181495837
4061,3704,0.430128316009462
4061,2894,0.190548887102002
4061,2900,0.0796660422063484
4061,4844,0.0443185372222635
4061,2492,0.0082377358671745
4061,1886,0.00764004237286044
2894,3704,0.183881444984462
2894,4061,0.190548887102002
2894,2900,0.140307484859429
2894,4844,0.0780536137868947
2894,2492,0.0145082643551666
2894,1886,0.013455609188906
2900,3704,0.0768784702964691
2900,4061,0.0796660422063484
2900,2894,0.140307484859429
2900,4844,0.156107227573789
2900,2492,0.0290165287103332
2900,1886,0.0269112183778119
4844,3704,0.0427677998437487
4844,4061,0.0443185372222635
4844,2894,0.0780536137868947
4844,2900,0.156107227573789
4844,2492,0.0713587059596556
4844,1886,0.0661812354747486
2492,3704,0.00794949158556626
2492,4061,0.0082377358671745
2492,2894,0.0145082643551666
2492,2900,0.0290165287103332
2492,4844,0.0713587059596556
2492,1886,0.270464216270517
1886,3704,0.00737271181495837
1886,4061,0.00764004237286044
1886,2894,0.013455609188906
1886,2900,0.0269112183778119
1886,4844,0.0661812354747486
1886,2492,0.270464216270517
4546,3253,0.293974632671976
3253,4546,0.293974632671976
2233,2931,0.355344329686154
2233,6701,0.156816959061946
2931,2233,0.355344329686154
2931,6701,0.170617894466906
6701,2233,0.156816959061946
6701,2931,0.170617894466906
2434,1930,0.0406509583458243
